,Provincia,Municipio,Prov,Munic,Codigo,Nombre,Rank_Cantidad de farolas por km2,Ranking _Potencia emitida por farola,Ranking -numero de puntos de luz?,Ranking Potencia emitida Total,Ranking (Potencia emitida/km2),Ranking pob(potencia emitida/persona),Ranking tot,Mediana_rangos,Nom_municipi,Superficie_total,Superficie_artificial,Punts_llum_estimats,Potencia_farola_2015,Potencia_farola_actual,Potencia_emesa,Poblacio_2015,Poblacio_2023,Potencia_habitant_2015,Potencia_habitant_2023,Potencia_PL_2015,PL_per_habitant_2015,PL_estimats_habitant_2023,PL_superficie,PL_superficie_art
0,48 Bizkaia,020 Bilbao,48,20,48020,Bilbao,52,2161,18,31,66,2171,1,59.0,Bilbao,40.844,19.637,37325.32359921216,112,156,136171.9949191612,345141,346096,0.394540187688977,0.39345151321934146,3.648246868033461,0.10814514531513834,0.10784673500766308,913.8508373129997,1900.7650659068167
1,08 Barcelona,101 Hospitalet de Llobregat (L'),8,101,8101,Hospitalet de Llobregat (L'),12,2209,66,87,97,2200,2,92.0,L'Hospitalet de Llobregat,12.541,12.203,29438.42142129897,112,156,76524.6885116709,252171,274455,0.30346347721058686,0.27882417340427723,2.5994834239414955,0.11673991625245951,0.10726137771692616,2347.3743259149164,2412.3921512168295
2,48 Bizkaia,013 Barakaldo,48,13,48013,Barakaldo,49,2035,92,105,28,2009,3,98.5,Barakaldo,25.292,7.534,14436.01185880443,112,156,61049.69416723472,100228,101229,0.6091081750332713,0.6030850266942746,4.2289861468907635,0.1440317262521893,0.14260747274797173,570.773835948301,1916.1151923021544
3,46 Valencia/València,250 Valencia,46,250,46250,Valencia,191,2071,3,5,12,1992,4,101.5,Valencia,136.275,54.085,69387.58077362386,112,156,495795.7755920205,786189,807693,0.6306317890380309,0.6138418626780479,7.145310011737521,0.08825814247416826,0.08590835970303551,509.17322160061536,1282.9357635873878
4,11 Cádiz,012 Cádiz,11,12,11012,Cádiz,13,2101,77,145,62,2163,5,111.0,Cádiz,12.246,7.09,16938.80632035941,112,156,49709.15404803943,120468,111811,0.4126336790520257,0.44458196463710575,2.9346314674070078,0.14060834678387132,0.1514949899415926,1383.2113604735757,2389.1123159886333
5,52 Melilla,001 Melilla,52,1,52001,Melilla,121,2002,114,93,15,1582,6,117.5,Melilla,13.157,8.338,12248.67040379564,112,156,74202.81886122751,85584,85491,0.8670174198591736,0.8679605907198128,6.0580304975986135,0.143118695127543,0.1432743844825261,930.9622561218849,1469.0177984883235
6,11 Cádiz,031 San Fernando,11,31,11031,San Fernando,111,2112,118,119,112,2021,7,118.5,San Fernando,30.793,9.355,14042.28476037048,112,156,57368.70408525439,96131,93927,0.5967763165394554,0.6107796915184599,4.085425204248658,0.14607446880164027,0.14950211079210962,456.0219777342409,1501.0459391096183
7,13 Ciudad Real,071 Puertollano,13,71,13071,Puertollano,1895,1420,109,18,90,133,8,121.0,Puertollano,226.885,30.225,8770.653701561632,112,156,193219.8913149782,50035,45127,3.8616946400515277,4.281691477717955,22.03027253037878,0.17529037077169246,0.19435490286439674,38.65682483003122,290.1787825165139
8,08 Barcelona,015 Badalona,8,15,8015,Badalona,50,2115,31,78,169,2190,10,123.5,Badalona,21.351,13.701,26251.06895533151,112,156,77876.52028000343,215654,225957,0.36111790312261044,0.3446519482910617,2.9666037757364143,0.12172771641301117,0.11617727689485835,1229.5006770329967,1915.9965663332246
9,28 Madrid,106 Parla,28,106,28106,Parla,79,2201,140,107,95,2082,10,123.5,Parla,25.009,10.257,16965.7218932572,112,156,64948.1157351272,125056,133004,0.5193522560702981,0.4883170110306998,3.8281964153225903,0.13566499722729977,0.1275579824159965,678.3846572536767,1654.062775982958
10,08 Barcelona,019 Barcelona,8,19,8019,Barcelona,126,2195,2,4,139,2199,11,132.5,Barcelona,102.891,82.362,118816.3575444769,112,156,487620.7667764673,1604555,1660122,0.30389782012861344,0.29372586278386004,4.103986831896734,0.07404941403970378,0.07157085897571196,1154.7789169555829,1442.6113686466683
11,36 Pontevedra,017 Estrada (A),36,17,36017,Estrada (A),33,170,111,583,89,1967,12,140.5,A Estrada,281.961,2.183,4516.666709808163,112,156,14013.99947971887,21025,20081,0.6665398087856775,0.6978735859627941,3.1027304824787674,0.21482362472333713,0.22492239977133427,16.018763977316592,2069.0181904755673
12,33 Asturias,014 Carreño,33,14,33014,Carreño,1663,110,230,163,123,135,13,149.0,Carreño,66.622,6.714,2697.17902927728,112,156,40571.0774171287,10704,10177,3.7902725539171054,3.9865458796431854,15.0420409534327,0.251978608863722,0.26502692633165764,40.48481026203476,401.72460966298473
